date,time,nT,sq
26/03/2019,135202,40117.07,99
26/03/2019,135222,40117.22,99
26/03/2019,135242,40117.19,99
26/03/2019,135302,40117.22,99
26/03/2019,135322,40117.39,99
26/03/2019,135342,40117.33,99
26/03/2019,135402,40117.35,99
26/03/2019,135422,40117.37,99
26/03/2019,135442,40117.52,99
26/03/2019,135502,40117.73,99
26/03/2019,135522,40117.66,99
26/03/2019,135542,40117.57,99
26/03/2019,135602,40117.57,99
26/03/2019,135622,40117.54,99
26/03/2019,135642,40117.64,99
26/03/2019,135702,40117.68,99
26/03/2019,135722,40117.76,99
26/03/2019,135742,40117.83,99
26/03/2019,135802,40117.89,99
26/03/2019,135822,40117.77,99
26/03/2019,135842,40117.85,99
26/03/2019,135902,40117.94,99
26/03/2019,135922,40117.76,99
26/03/2019,135942,40117.73,99
26/03/2019,140002,40117.68,99
26/03/2019,140022,40117.57,99
26/03/2019,140042,40117.68,99
26/03/2019,140102,40117.61,99
26/03/2019,140122,40117.52,99
26/03/2019,140142,40117.57,99
26/03/2019,140202,40117.63,99
26/03/2019,140222,40117.71,99
26/03/2019,140242,40117.67,99
26/03/2019,140302,40117.73,99
26/03/2019,140322,40117.88,99
26/03/2019,140342,40117.88,99
26/03/2019,140402,40117.98,99
26/03/2019,140422,40117.88,99
26/03/2019,140442,40117.82,99
26/03/2019,140502,40117.77,99
26/03/2019,140522,40117.53,99
26/03/2019,140542,40117.51,99
26/03/2019,140602,40117.56,99
26/03/2019,140622,40117.63,99
26/03/2019,140642,40117.69,99
26/03/2019,140702,40117.75,99
26/03/2019,140722,40117.79,99
26/03/2019,140742,40117.83,99
26/03/2019,140802,40117.88,99
26/03/2019,140822,40118.03,99
26/03/2019,140842,40118.1,99
26/03/2019,140902,40118.29,99
26/03/2019,140922,40118.3,99
26/03/2019,140942,40118.26,99
26/03/2019,141002,40118.19,99
26/03/2019,141022,40118.2,99
26/03/2019,141042,40118.14,99
26/03/2019,141102,40118.07,99
26/03/2019,141122,40117.9,99
26/03/2019,141142,40117.81,99
26/03/2019,141202,40117.71,99
26/03/2019,141222,40117.55,99
26/03/2019,141242,40117.6,99
26/03/2019,141302,40117.61,99
26/03/2019,141322,40117.63,99
26/03/2019,141342,40117.6,99
26/03/2019,141402,40117.59,99
26/03/2019,141422,40117.54,99
26/03/2019,141442,40117.54,99
26/03/2019,141502,40117.55,99
26/03/2019,141522,40117.68,99
26/03/2019,141542,40117.78,99
26/03/2019,141602,40117.8,99
26/03/2019,141622,40117.93,99
26/03/2019,141642,40117.99,99
26/03/2019,141702,40117.99,99
26/03/2019,141722,40117.94,99
26/03/2019,141742,40117.97,99
26/03/2019,141802,40118.02,99
26/03/2019,141822,40117.97,99
26/03/2019,141842,40117.82,99
26/03/2019,141902,40117.7,99
26/03/2019,141922,40117.74,99
26/03/2019,141942,40117.77,99
26/03/2019,142002,40117.81,99
26/03/2019,142022,40117.76,99
26/03/2019,142042,40117.86,99
26/03/2019,142102,40117.96,99
26/03/2019,142122,40118.04,99
26/03/2019,142142,40118.06,99
26/03/2019,142202,40118.13,99
26/03/2019,142222,40118.12,99
26/03/2019,142242,40118.17,99
26/03/2019,142302,40118,99
26/03/2019,142322,40118.07,99
26/03/2019,142342,40117.95,99
26/03/2019,142402,40117.84,99
26/03/2019,142422,40117.69,99
26/03/2019,142442,40117.46,99
26/03/2019,142502,40117.46,99
26/03/2019,142522,40117.26,99
26/03/2019,142542,40117.31,99
26/03/2019,142602,40117.2,99
26/03/2019,142622,40114.84,99
26/03/2019,142642,40114.44,99
26/03/2019,142702,40117.61,99
26/03/2019,142722,40107.73,99
26/03/2019,142742,40114.81,99
26/03/2019,142802,40113.62,99
26/03/2019,142822,40115.14,99
26/03/2019,142842,40113.57,99
26/03/2019,142902,40115.03,99
26/03/2019,142922,40112.65,99
26/03/2019,142942,40114.58,99
26/03/2019,143002,40113.58,99
05/04/2019,95602,40134.04,99
05/04/2019,95702,40134.29,99
05/04/2019,95802,40133.85,99
05/04/2019,95902,40132.21,99
05/04/2019,100002,40139.6,99
05/04/2019,100102,40136.8,99
05/04/2019,100202,40135.47,99
05/04/2019,100302,40135.9,99
05/04/2019,100402,40135.91,99
05/04/2019,100502,40136,99
05/04/2019,100602,40136.03,99
05/04/2019,100702,40135.76,99
05/04/2019,100802,40135.65,99
05/04/2019,100902,40135.72,99
05/04/2019,101002,40135.68,99
05/04/2019,101102,40135.79,99
05/04/2019,101202,40136.14,99
05/04/2019,101302,40136.54,99
05/04/2019,101402,40136.89,99
05/04/2019,101502,40137.14,99
05/04/2019,101602,40137.04,99
05/04/2019,101702,40137.52,99
05/04/2019,101802,40138.47,99
05/04/2019,101902,40138.65,99
05/04/2019,102002,40138.64,99
05/04/2019,102102,40138.67,99
05/04/2019,102202,40138.48,99
